target,extra_target,pair,extra_pair,neutral1,neutral2,condition,Ref_Word,Mean_Rating_Tx,Mean_Rating_Thm,Difference_Score,used_in_exp,mem_trials
floss,floss_01,teeth,teeth_01,ACHOPBOWL,Adeer16,thematic,FLOSS,1.71,6.56,-4.84,1,1
wrapper,wrapper_01,gum,gum_01,AHEARTES3,8019781.thl,thematic,WRAPPER,1.3,5.82,-4.52,1,1
camel,camel_01,sand,sand_01,AGOUDA,ABRIDGE3,thematic,CAMEL,1.71,6.21,-4.5,1,1
horse,horse_01,saddle,saddle_01,22907432.thl,35311992.thl,thematic,HORSE,2.05,6.53,-4.48,1,1
pasta,pasta_01,colander,colander_01,ADRYRACK2,23044458.thl,thematic,PASTA,1.47,5.89,-4.42,1,1
bowl,bowl_01,cereal,cereal_01,23077768.thl,ABULDOZER,thematic,BOWL,1.86,6.22,-4.37,1,1
dog,dog_01,leash,leash_01,26422216.thl,ACHERRY,thematic,DOG,1.7,6.06,-4.36,1,1
shoe,shoe_01,shoelace,shoelace_01,Abutanco3,AMAGGLASS,thematic,SNEAKERS,2,6.33,-4.33,1,1
owl,owl_01,nest,nest_01,A25PINCON,Agarbagebag,thematic,OWL,1.48,5.67,-4.19,1,1
coffee,coffee_01,mug,mug_01,8245419.thl,26434546.thl,thematic,COFFEE,2.19,6.33,-4.14,1,1
sardine,sardine_01,can,can_01,ADOGSNACK,Ajuicer27,thematic,SARDINES,1.76,5.89,-4.13,1,0
squirrel,squirrel_01,nut,nut_01,AKNIFECOL,26369999.thl,thematic,SQUIRREL,2.24,6.33,-4.09,1,0
smoothie,smoothie_01,blender,blender_01,26424478.thl,Ahandba18,thematic,SMOOTHIE,1.67,5.72,-4.06,1,0
cow,cow_01,milk,milk_01,26377183.thl,22857084.thl,thematic,COW,2.27,6.32,-4.05,1,0
meter,meter_01,coin,coin_01,ACANE2,Acookiejar14,thematic,METER,1.38,5.28,-3.9,1,0
bee,bee_01,honey,honey_01,26419689.thl,AHEADLIG9,thematic,BEE,2.88,6.72,-3.84,1,0
canoe,canoe_01,oar,oar_01,8255981.thl,26427906.thl,thematic,CANOE,2.29,6,-3.71,1,0
key,key_01,lock,lock_01,Aeasteregg14,ACONSTHA2,thematic,KEY,2.52,6.24,-3.71,1,0
grill,grill_01,sausage,sausage_01,26437080.thl,22824636.thl,thematic,GRILL,1.67,5.37,-3.7,1,0
crayon,crayon_01,paper,paper_01,ABISHOP2,ACARMON,thematic,CRAYON,1.9,5.56,-3.66,1,0
boot,boot_01,toe,toe_01,AANTIRO13,Abutterdish,thematic,BOOT,1.71,5.32,-3.6,1,0
jam,jam_01,jar,jar_01,Aaircompress2,26427950.thl,thematic,JAM,2.19,5.78,-3.59,1,0
rake,rake_01,grass,grass_01,26460317.thl,8252065.thl,thematic,RAKE,1.81,5.37,-3.56,1,0
ambulance,ambulance_01,stretcher,stretcher_01,Acrabwalking,AHALLOWE3,thematic,AMBULANCE,2.35,5.89,-3.54,1,0
flower,flower_01,flowerpot,flowerpot_01,Aclog6,AELECBE17,thematic,PLANT,2.48,6,-3.52,1,0
finger,finger_01,glove,glove_01,Acoral7,22870356.thl,thematic,FINGER,2.38,5.89,-3.51,1,0
hook,hook_01,worm,worm_01,AGUIRA,26428753.thl,thematic,HOOK,2.85,6.33,-3.48,1,0
oyster,oyster_01,pearls,pearls_01,ADRUM12,AFRYPAN7,thematic,OYSTER,2.85,6.32,-3.47,1,0
lobster,lobster_01,lobster_trap,lobster_trap_01,AAIRGRIN2,8257273.thl,thematic,LOBSTER,1.45,4.89,-3.44,1,0
broom,broom_01,debris,debris_01,Acactusfruit,26426575.thl,thematic,BROOM,1.35,4.78,-3.43,1,0
brick,brick_01,boulder,boulder_01,ACIGARCU3,26440026.thl,taxonomic,BRICK,3.78,2.59,1.19,1,0
scissors,scissors_01,razor,razor_01,26374346.thl,22859028.thl,taxonomic,SCISSORS,5.6,4.39,1.21,1,0
dragon,dragon_01,snake,snake_01,26384863.thl,Acampingstov9,taxonomic,DRAGON,3.9,2.64,1.27,1,0
