target,extra_target,pair,extra_pair,neutral1,neutral2,condition,Ref_Word,Mean_Rating_Tx,Mean_Rating_Thm,Difference_Score,used_in_exp
26465344.thl,vibraphone,22806086.thl,staper,36407726.thl,26451219.thl,neutral,XYLOPHONE ,,,,1
ADART3,dart,96CM301000,memo_holder,8020347.thl,10049193.thl,neutral,DART,,,,1
Aavocado7,avocado,26421572.thl,whip,AHARP,Aglasscontai3,neutral,AVOCADO,,,,1
Acanadagoose,canada_goose,26467460.thl,toy_car,Acandlesnuffe,26374803.thl,neutral,GOOSE,,,,1
22903568.thl,diary,26439898.thl,stand_in_beach,26688546.thl,16247853.thl,neutral,NOTEPAD,,,,1
26433347.thl,tape_measure,ACOMPACT,compact,Aaircompress6,ABULLMASK,neutral,MEASURER,,,,1
26387690.thl,ruler,ADEEPFRYS,deep_fry_basket,22886412.thl,26423175.thl,neutral,TRIANGLE,,,,1
26431848.thl,pepper,8258007.thl,adapter,22856256.thl,23019499.thl,neutral,PEPPER,,,,1
26432148.thl,stethoscope,9815480.thl,briefcase,AJEWELBO3,AHOSPCAR3,neutral,STETHOSCOPE,,,,1
26375702.thl,ladybug,Ababmonit,radio,26429130.thl,ADANGEAR5,neutral,LADYBUG,,,,1
22875816.thl,screwdriver,8020200.thl,duck,AHOSPLIF2,AJEEPBOA2,neutral,SCREWDRIVER,,,,1
AHARPSIC5,harpsicle,AAIRBOWER,air_blower,AHEADLI18,AGRILL3,neutral,HARP,,,,1
ACANTELOP,canteloupe,22826832.thl,bunny,26425112.thl,Acardboardpan,neutral,MELON,,,,1
ADUSTER5,duster,Afan49,fan,AFBLADE,ABAKECON3,neutral,DUSTER,,,,1
ALUNCHBO3,lunchbox,AMAGNIFL2,petrographic_microscope,AAFRICS13,26428545.thl,neutral,BAG,,,,1
